set_num,name,year,theme_id,num_parts,img_url
7773-1,Tiger Shark Attack,2007,310,339,https://cdn.rebrickable.com/media/sets/7773-1.jpg
7774-1,Crab Crusher,2007,310,599,https://cdn.rebrickable.com/media/sets/7774-1.jpg
7775-1,Aquabase Invasion,2007,310,854,https://cdn.rebrickable.com/media/sets/7775-1.jpg
7776-1,The Shipwreck,2007,310,246,https://cdn.rebrickable.com/media/sets/7776-1.jpg
7777-1,Idea Book 7777,1981,497,1,https://cdn.rebrickable.com/media/sets/7777-1.jpg
7778-1,Midi-Scale Millennium Falcon,2009,158,356,https://cdn.rebrickable.com/media/sets/7778-1.jpg
7779-1,The Batman Dragster: Catwoman Pursuit,2006,697,93,https://cdn.rebrickable.com/media/sets/7779-1.jpg
7780-1,The Batboat: Hunt for Killer Croc,2006,697,195,https://cdn.rebrickable.com/media/sets/7780-1.jpg
7781-1,The Batmobile: Two-Face's Escape,2006,697,393,https://cdn.rebrickable.com/media/sets/7781-1.jpg
7782-1,The Batwing: The Joker's Aerial Assault,2006,697,530,https://cdn.rebrickable.com/media/sets/7782-1.jpg
7783-1,The Batcave: The Penguin and Mr. Freeze's Invasion,2006,697,1091,https://cdn.rebrickable.com/media/sets/7783-1.jpg
7784-1,The Batmobile Ultimate Collectors' Edition,2006,698,1045,https://cdn.rebrickable.com/media/sets/7784-1.jpg
7785-1,Arkham Asylum,2006,697,869,https://cdn.rebrickable.com/media/sets/7785-1.jpg
7786-1,The Batcopter: The Chase for the Scarecrow,2007,697,300,https://cdn.rebrickable.com/media/sets/7786-1.jpg
7787-1,The Bat-Tank: The Riddler and Bane's Hideout,2007,697,652,https://cdn.rebrickable.com/media/sets/7787-1.jpg
7789-1,Lotso's Dump Truck,2010,275,129,https://cdn.rebrickable.com/media/sets/7789-1.jpg
7790-1,Standard Starter Set,2006,505,75,https://cdn.rebrickable.com/media/sets/7790-1.jpg
77901-1,Sith Trooper Bust,2019,158,484,https://cdn.rebrickable.com/media/sets/77901-1.jpg
77902-1,Captain Marvel and the Asis,2019,696,280,https://cdn.rebrickable.com/media/sets/77902-1.jpg
77903-1,The Dark Knight of Gotham City,2019,697,427,https://cdn.rebrickable.com/media/sets/77903-1.jpg
77904-1,Nebulon-B Frigate,2020,158,459,https://cdn.rebrickable.com/media/sets/77904-1.jpg
77905-1,Taskmaster's Ambush,2020,696,230,https://cdn.rebrickable.com/media/sets/77905-1.jpg
77906-1,Wonder Woman,2020,695,255,https://cdn.rebrickable.com/media/sets/77906-1.jpg
77907-1,Toad's Special Hideaway Expansion Set,2020,690,121,https://cdn.rebrickable.com/media/sets/77907-1.jpg
